elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
161.8,sandy,5.16,3.41,1.64,0.26,17.5956,0.4264,1.513196481,6.307692308,3.146341463,13.11538462,3.52,3.15,5.33,18.33,53.21,4.194710955,0.652993109,41.26547842
291.4,clay,5.48,4.05,1.53,0.37,22.194,0.5661,1.35308642,4.135135135,3.581699346,10.94594595,3.95,3.68,5.9,20.45,52.53,4.711050838,0.752396172,39.20508744
144.3,sandy,5.1,2.8,1.47,0.38,14.28,0.5586,1.821428571,3.868421053,3.469387755,7.368421053,3.63,2.42,5.66,24.62,50.25,3.778888726,0.747395478,25.56390977
114.6,clay,4.64,3.44,1.53,0.17,15.9616,0.2601,1.348837209,9,3.032679739,20.23529412,3.11,3.27,4.51,22.91,50.85,3.995197117,0.51,61.36716647
110.9,loamy,4.85,2.87,1.23,0.26,13.9195,0.3198,1.68989547,4.730769231,3.943089431,11.03846154,3.62,2.61,4.03,21.56,40.57,3.730884614,0.565508621,43.52564103
164.4,clay,4.91,3.19,1.86,0.35,15.6629,0.651,1.539184953,5.314285714,2.639784946,9.114285714,3.05,2.84,6.18,18.52,48.14,3.957638185,0.80684571,24.05975422
239.9,clay,4.47,3.91,1.42,0.41,17.4777,0.5822,1.143222506,3.463414634,3.147887324,9.536585366,3.05,3.5,6.13,22.25,46.59,4.180633923,0.763020314,30.02009619
101.5,loamy,5.05,4.13,1.59,0.22,20.8565,0.3498,1.222760291,7.227272727,3.176100629,18.77272727,3.46,3.91,5.09,14.94,46.7,4.566891722,0.591438923,59.6240709
227.3,clay,5.2,3.22,1.44,0.21,16.744,0.3024,1.614906832,6.857142857,3.611111111,15.33333333,3.76,3.01,4.36,19.24,53,4.091943304,0.549909083,55.37037037
55.3,sandy,4.68,2.95,1.59,0.15,13.806,0.2385,1.586440678,10.6,2.943396226,19.66666667,3.09,2.8,5.48,21.75,45.7,3.715642609,0.488364618,57.88679245
154.7,clay,4.85,3.68,1.53,0.36,17.848,0.5508,1.317934783,4.25,3.169934641,10.22222222,3.32,3.32,4.95,22.22,46.98,4.224689338,0.742159013,32.40377633
244,clay,4.68,4.09,1.12,0.24,19.1412,0.2688,1.144254279,4.666666667,4.178571429,17.04166667,3.56,3.85,4.94,22.01,39.56,4.375065714,0.518459256,71.20982143
134.7,clay,5.35,3.5,1.66,0.2,18.725,0.332,1.528571429,8.3,3.222891566,17.5,3.69,3.3,5.45,20.88,48.53,4.327239305,0.576194412,56.40060241
190.9,loamy,5.23,3.78,1.38,0.33,19.7694,0.4554,1.383597884,4.181818182,3.789855072,11.45454545,3.85,3.45,5.17,19.41,44.56,4.446279343,0.674833313,43.41106719
101.2,clay,5.4,4.1,1.34,0.29,22.14,0.3886,1.317073171,4.620689655,4.029850746,14.13793103,4.06,3.81,4.41,21.61,50.4,4.705316142,0.623377895,56.97375193
235.5,clay,4.48,3.31,1.4,0.27,14.8288,0.378,1.35347432,5.185185185,3.2,12.25925926,3.08,3.04,4.84,17.14,45.24,3.850818095,0.614817046,39.22962963
63.1,sandy,5.22,3.32,1.81,0.35,17.3304,0.6335,1.572289157,5.171428571,2.883977901,9.485714286,3.41,2.97,5.33,17.47,50.52,4.162979702,0.795927132,27.35659037
263.1,clay,5.01,4.27,1.55,0.28,21.3927,0.434,1.173302108,5.535714286,3.232258065,15.25,3.46,3.99,5.26,20.19,49.28,4.625224319,0.658786764,49.29193548
99.5,clay,4.34,3.96,1.62,0.49,17.1864,0.7938,1.095959596,3.306122449,2.679012346,8.081632653,2.72,3.47,5.13,20.52,58.36,4.145648321,0.890954544,21.65079365
268.6,clay,4.95,2.92,1.65,0.28,14.454,0.462,1.695205479,5.892857143,3,10.42857143,3.3,2.64,5.47,14.52,52.49,3.801841659,0.679705819,31.28571429
138.1,clay,5.77,3.45,1.45,0.33,19.9065,0.4785,1.672463768,4.393939394,3.979310345,10.45454545,4.32,3.12,4.82,21.37,40.8,4.461670091,0.691736944,41.60188088
230.7,sandy,5.18,2.96,1.26,0.22,15.3328,0.2772,1.75,5.727272727,4.111111111,13.45454545,3.92,2.74,5.09,22.32,43.68,3.91571194,0.526497863,55.31313131
129.8,sandy,5.34,3.15,1.33,0.2,16.821,0.266,1.695238095,6.65,4.015037594,15.75,4.01,2.95,3.31,19.77,50.28,4.101341244,0.515751878,63.23684211
276.5,loamy,4.75,2.8,1.15,0.31,13.3,0.3565,1.696428571,3.709677419,4.130434783,9.032258065,3.6,2.49,4.78,27.12,45.35,3.646916506,0.59707621,37.30715288
81.7,clay,5.15,3.58,1.63,0.29,18.437,0.4727,1.438547486,5.620689655,3.159509202,12.34482759,3.52,3.29,5.38,17.95,35.16,4.293832787,0.687531817,39.00359636
94.6,loamy,5.16,3.14,1.36,0.27,16.2024,0.3672,1.643312102,5.037037037,3.794117647,11.62962963,3.8,2.87,4.8,18.92,56.75,4.025220491,0.605970296,44.12418301
173.3,loamy,5.57,3.4,1.43,0.32,18.938,0.4576,1.638235294,4.46875,3.895104895,10.625,4.14,3.08,4.77,18.81,53.6,4.351781245,0.676461381,41.38548951
70.5,clay,4.58,3.68,1.6,0.3,16.8544,0.48,1.244565217,5.333333333,2.8625,12.26666667,2.98,3.38,4.48,19.77,52.6,4.105411063,0.692820323,35.11333333
99,sandy,5.16,3.02,1.64,0.43,15.5832,0.7052,1.708609272,3.813953488,3.146341463,7.023255814,3.52,2.59,5.5,19.01,46.96,3.947556206,0.839761871,22.09756098
285.9,sandy,5.32,3.12,1.59,0.15,16.5984,0.2385,1.705128205,10.6,3.34591195,20.8,3.73,2.97,5.27,15.78,52.14,4.0741134,0.488364618,69.59496855
294.1,clay,5.35,3.16,1.66,0.24,16.906,0.3984,1.693037975,6.916666667,3.222891566,13.16666667,3.69,2.92,5.41,18.36,46.48,4.11169065,0.631189354,42.43473896
144.1,clay,4.91,3.52,1.61,0.48,17.2832,0.7728,1.394886364,3.354166667,3.049689441,7.333333333,3.3,3.04,4.14,19.71,51.02,4.157306821,0.879090439,22.36438923
280.8,sandy,4.35,2.75,1.39,0.22,11.9625,0.3058,1.581818182,6.318181818,3.129496403,12.5,2.96,2.53,4.92,23.69,45.4,3.458684721,0.552991863,39.11870504
186.2,clay,4.63,4.47,1.18,0.47,20.6961,0.5546,1.035794183,2.510638298,3.923728814,9.510638298,3.45,4,4.86,26.61,57.58,4.549296649,0.74471471,37.31716552
117.4,clay,5.46,3.15,1.29,0.3,17.199,0.387,1.733333333,4.3,4.23255814,10.5,4.17,2.85,4.86,24.01,42.15,4.147167708,0.622093241,44.44186047
225.6,clay,4.39,3.83,1.56,0.43,16.8137,0.6708,1.146214099,3.627906977,2.814102564,8.906976744,2.83,3.4,4.69,17.67,56.16,4.100451195,0.819023809,25.06514609
214.7,sandy,4.48,2.4,1.54,0.27,10.752,0.4158,1.866666667,5.703703704,2.909090909,8.888888889,2.94,2.13,4.83,17.91,50.19,3.279024245,0.644825558,25.85858586
297.3,loamy,4.96,3.61,1.64,0.34,17.9056,0.5576,1.373961219,4.823529412,3.024390244,10.61764706,3.32,3.27,5.42,19.52,47.55,4.231500916,0.746726188,32.11190818
116.3,loamy,5.37,3.01,1.2,0.31,16.1637,0.372,1.784053156,3.870967742,4.475,9.709677419,4.17,2.7,4.04,25.35,50.84,4.020410427,0.609918027,43.45080645
218,clay,4.52,3.95,1.91,0.42,17.854,0.8022,1.144303797,4.547619048,2.366492147,9.404761905,2.61,3.53,5.89,19.5,53.67,4.225399389,0.895656184,22.25629519
63,sandy,5.74,2.73,1.54,0.32,15.6702,0.4928,2.102564103,4.8125,3.727272727,8.53125,4.2,2.41,5.24,16.02,56.83,3.958560344,0.701997151,31.79829545
78.4,clay,5.53,4.56,1.77,0.36,25.2168,0.6372,1.212719298,4.916666667,3.124293785,12.66666667,3.76,4.2,4.98,18.5,51.57,5.0216332,0.798248082,39.57438795
51,sandy,4.9,2.56,1.51,0.23,12.544,0.3473,1.9140625,6.565217391,3.245033113,11.13043478,3.39,2.33,5.45,22.27,45.55,3.541750979,0.589321644,36.11862943
299.9,clay,5.01,4.05,1.35,0.34,20.2905,0.459,1.237037037,3.970588235,3.711111111,11.91176471,3.66,3.71,4.27,22.07,50.28,4.504497752,0.677495387,44.20588235
250.6,sandy,4.87,3.85,1.5,0.37,18.7495,0.555,1.264935065,4.054054054,3.246666667,10.40540541,3.37,3.48,4.67,19.4,59.08,4.330069284,0.744983221,33.78288288
246.7,sandy,4.57,3.12,1.56,0.24,14.2584,0.3744,1.46474359,6.5,2.929487179,13,3.01,2.88,4.94,22.05,56.74,3.776029661,0.611882342,38.08333333
177.4,loamy,5.09,3.47,1.69,0.35,17.6623,0.5915,1.46685879,4.828571429,3.01183432,9.914285714,3.4,3.12,5.68,13.18,54.54,4.202653923,0.769090372,29.86018597
125,clay,5.14,4.06,1.44,0.21,20.8684,0.3024,1.266009852,6.857142857,3.569444444,19.33333333,3.7,3.85,4.98,20.31,53.98,4.568194392,0.549909083,69.00925926
87.8,loamy,5.33,3.63,1.63,0.26,19.3479,0.4238,1.468319559,6.269230769,3.26993865,13.96153846,3.7,3.37,5.23,22.58,53.5,4.398624785,0.650999232,45.65337423
121.2,loamy,5.31,2.94,1.44,0.29,15.6114,0.4176,1.806122449,4.965517241,3.6875,10.13793103,3.87,2.65,4.71,17.5,55.79,3.951126422,0.646219777,37.38362069
144,sandy,5.63,3.26,1.7,0.27,18.3538,0.459,1.726993865,6.296296296,3.311764706,12.07407407,3.93,2.99,5.24,17.49,47.72,4.284133518,0.677495387,39.98649237
239.1,clay,5.04,3.92,1.4,0.21,19.7568,0.294,1.285714286,6.666666667,3.6,18.66666667,3.64,3.71,5.84,14.4,43.22,4.444862203,0.542217668,67.2
184.9,sandy,5.09,3.27,1.51,0.59,16.6443,0.8909,1.556574924,2.559322034,3.370860927,5.542372881,3.58,2.68,5.5,24.77,50.35,4.079742639,0.943874992,18.68256819
69.4,sandy,5.11,3.14,1.77,0.26,16.0454,0.4602,1.627388535,6.807692308,2.88700565,12.07692308,3.34,2.88,4.96,17.84,45.91,4.00567098,0.678380424,34.86614515
54.5,sandy,5,2.9,1.41,0.24,14.5,0.3384,1.724137931,5.875,3.546099291,12.08333333,3.59,2.66,5.34,20.72,44.72,3.807886553,0.581721583,42.84869976
75.6,clay,5.49,3.03,1.97,0.18,16.6347,0.3546,1.811881188,10.94444444,2.78680203,16.83333333,3.52,2.85,5.29,21.81,46.4,4.078565924,0.595482997,46.91116751
152.6,clay,4.99,3.43,1.39,0.55,17.1157,0.7645,1.454810496,2.527272727,3.589928058,6.236363636,3.6,2.88,5.25,24.54,62.43,4.13711252,0.874356907,22.3880968
283.3,sandy,4.66,2.97,1.42,0.33,13.8402,0.4686,1.569023569,4.303030303,3.281690141,9,3.24,2.64,5.56,19.54,50.68,3.720241928,0.684543644,29.53521127
209.4,clay,5.67,4.02,1.58,0.29,22.7934,0.4582,1.410447761,5.448275862,3.588607595,13.86206897,4.09,3.73,5.55,18.38,51.81,4.774243396,0.67690472,49.74552597
250.5,sandy,4.62,3.15,1.07,0.25,14.553,0.2675,1.466666667,4.28,4.317757009,12.6,3.55,2.9,4.94,20.52,43.89,3.814839446,0.517204022,54.40373832
166.6,clay,5.01,3.97,1.24,0.33,19.8897,0.4092,1.261964736,3.757575758,4.040322581,12.03030303,3.77,3.64,5.32,23.85,40.78,4.45978699,0.639687424,48.60630499
140.4,clay,5.04,3.48,1.33,0.27,17.5392,0.3591,1.448275862,4.925925926,3.789473684,12.88888889,3.71,3.21,4.81,19.49,45.9,4.187982808,0.599249531,48.84210526
77.1,loamy,4.8,3.89,1.99,0.32,18.672,0.6368,1.233933162,6.21875,2.412060302,12.15625,2.81,3.57,4.54,17.14,57.19,4.321110968,0.797997494,29.32160804
269,sandy,4.39,2.83,1.92,0.29,12.4237,0.5568,1.551236749,6.620689655,2.286458333,9.75862069,2.47,2.54,4.87,15.38,51.67,3.52472694,0.746190324,22.3126796
245.8,loamy,5.06,3.81,1.81,0.22,19.2786,0.3982,1.32808399,8.227272727,2.79558011,17.31818182,3.25,3.59,4.96,16.34,52.99,4.390740256,0.631030903,48.41436464
92,loamy,4.08,3.03,1.29,0.29,12.3624,0.3741,1.346534653,4.448275862,3.162790698,10.44827586,2.79,2.74,4.17,22.59,53.69,3.516020478,0.611637147,33.0457097
178.1,sandy,5.45,2.47,1.48,0.17,13.4615,0.2516,2.206477733,8.705882353,3.682432432,14.52941176,3.97,2.3,5.43,19.04,47.04,3.668991687,0.501597448,53.50357711
171.8,sandy,5.43,2.38,1.33,0.2,12.9234,0.266,2.281512605,6.65,4.082706767,11.9,4.1,2.18,3.62,18.18,56.94,3.594913073,0.515751878,48.58421053
206.3,clay,4.55,4,1.83,0.37,18.2,0.6771,1.1375,4.945945946,2.486338798,10.81081081,2.72,3.63,6.36,17.85,46.84,4.266145802,0.822860863,26.87933835
286.5,sandy,4.95,2.82,1.6,0.28,13.959,0.448,1.755319149,5.714285714,3.09375,10.07142857,3.35,2.54,5.75,20.26,57.03,3.736174514,0.669328021,31.15848214
